"R0000100","R0000300","R0000500"
1,9,58
2,1,59
3,8,61
4,8,62
5,7,59
6,10,60
7,6,64
8,7,58
9,7,63
10,10,60
11,7,59
12,9,59
13,8,58
14,10,63
15,2,64
16,10,58
17,1,57
18,3,58
19,12,57
20,11,59
21,6,61
22,1,63
23,9,58
24,1,61
25,11,59
26,9,62
27,5,60
28,1,64
29,10,60
30,11,58
31,10,63
32,11,57
33,5,62
34,12,58
35,8,63
36,8,62
37,10,58
38,8,62
39,2,59
40,2,60
41,4,62
42,9,63
43,6,61
44,4,61
45,11,59
46,11,62
47,2,59
48,10,58
49,5,58
50,9,58
51,1,63
52,9,58
53,3,63
54,6,58
55,11,58
56,5,64
57,5,58
58,1,57
59,1,59
60,8,61
61,9,62
62,7,64
63,2,60
64,9,61
65,10,63
66,1,64
67,1,58
68,3,62
69,7,64
70,3,61
71,5,63
72,12,59
73,11,63
74,11,59
75,3,62
76,2,64
77,5,64
78,4,57
79,4,60
80,6,63
81,9,64
82,9,58
83,7,60
84,4,63
85,6,59
86,10,60
87,4,63
88,4,57
89,3,59
90,9,58
91,7,63
92,8,62
93,6,64
94,2,57
95,7,60
96,6,61
97,2,58
98,9,57
99,9,57
100,10,63
101,9,58
102,8,64
103,5,58
104,6,58
105,9,58
106,1,61
107,2,62
108,7,58
109,4,62
110,5,57
111,6,59
112,9,63
113,1,63
114,1,57
115,8,60
116,12,63
117,9,59
118,10,61
119,5,57
120,3,62
121,9,64
122,11,61
123,7,62
124,3,61
125,2,57
126,12,58
127,3,60
128,7,58
129,9,60
130,10,59
131,4,60
132,9,59
133,12,62
134,6,61
135,8,64
136,10,57
137,7,61
138,11,62
139,12,63
140,9,58
141,7,62
142,1,60
143,6,61
144,7,64
145,8,62
146,1,64
147,6,61
148,3,63
149,2,64
150,9,59
151,12,57
152,10,61
153,1,63
154,9,64
155,10,63
156,12,57
157,4,62
158,9,58
159,4,60
160,2,60
161,3,61
162,4,61
163,4,62
164,3,60
165,10,60
166,2,62
167,2,60
168,4,61
169,2,63
170,1,57
171,1,62
172,8,57
173,10,62
174,6,60
175,10,57
176,9,59
177,7,60
178,5,58
179,8,58
180,3,57
181,7,58
182,8,64
183,11,58
184,1,61
185,10,64
186,4,59
187,6,64
188,1,59
189,6,58
190,7,61
191,8,63
192,6,63
193,2,58
194,6,64
195,5,59
196,7,64
197,9,62
198,6,63
199,3,59
200,9,58
201,6,57
202,11,60
203,1,58
204,3,57
205,4,57
206,8,62
207,9,62
208,8,58
209,5,60
210,12,62
211,1,64
212,3,61
213,12,62
214,6,64
215,7,60
216,8,60
217,3,62
218,6,57
219,7,59
220,5,61
221,8,64
222,7,61
223,12,62
224,5,60
225,2,61
226,6,63
227,9,57
228,11,57
229,2,63
230,9,64
231,6,57
232,10,61
233,4,64
234,6,61
235,3,63
236,12,61
237,8,57
238,6,57
239,1,61
240,8,62
241,3,64
242,11,58
243,4,58
244,5,57
245,8,62
246,2,64
247,1,59
248,4,61
249,2,63
250,6,58
251,12,62
252,3,64
253,6,64
254,6,61
255,6,62
256,10,61
257,6,64
258,1,58
259,1,59
260,2,61
261,1,63
262,6,60
263,1,62
264,8,61
265,9,62
266,8,61
267,4,58
268,7,58
269,5,59
270,2,62
271,4,64
272,2,57
273,6,59
274,9,60
275,2,63
276,10,61
277,8,59
278,7,60
279,8,62
280,3,59
281,7,61
282,8,63
283,6,58
284,1,60
285,4,61
286,3,64
287,12,58
288,8,61
289,9,62
290,2,60
291,2,59
292,3,57
293,5,59
294,5,61
295,10,63
296,5,63
297,8,57
298,1,64
299,12,62
300,4,61
301,5,61
302,3,60
303,5,63
304,12,64
305,7,62
306,3,60
307,9,57
308,6,61
309,5,59
310,9,60
311,9,64
312,4,62
313,9,63
314,12,58
315,5,64
316,2,64
317,5,59
318,5,63
319,4,57
320,4,60
321,11,57
322,2,58
323,7,59
324,3,62
325,5,64
326,6,57
327,5,58
328,7,62
329,1,64
330,5,58
331,8,61
332,10,63
333,2,57
334,11,58
335,2,57
336,7,63
337,5,58
338,12,59
339,1,61
340,12,62
341,3,59
342,1,63
343,1,59
344,10,59
345,9,63
346,1,62
347,8,62
348,5,57
349,10,58
350,6,62
351,8,59
352,10,61
353,6,59
354,2,57
355,4,64
356,4,62
357,4,58
358,10,61
359,2,63
360,5,61
361,1,58
362,6,57
363,5,61
364,8,59
365,10,61
366,5,63
367,9,59
368,6,58
369,8,58
370,11,59
371,8,59
372,9,61
373,9,58
374,5,61
375,5,60
376,11,60
377,11,58
378,5,61
379,12,63
380,5,57
381,12,57
382,5,59
383,9,60
384,9,62
385,2,61
386,1,62
387,4,63
388,8,62
389,9,57
390,11,61
391,10,63
392,10,59
393,10,62
394,7,61
395,12,62
396,6,63
397,3,59
398,9,58
399,4,57
400,4,61
401,4,61
402,1,58
403,1,57
404,7,57
405,8,59
406,12,63
407,1,63
408,3,61
409,12,57
410,12,60
411,12,62
412,9,64
413,2,60
414,3,64
415,3,62
416,6,57
417,6,60
418,3,64
419,3,63
420,9,64
421,5,57
422,7,58
423,9,60
424,4,57
425,8,57
426,10,57
427,9,57
428,4,58
429,11,58
430,9,61
431,1,60
432,1,59
433,10,60
434,8,63
435,7,61
436,3,63
437,8,57
438,12,62
439,4,61
440,4,61
441,5,63
442,3,57
443,10,61
444,10,61
445,11,64
446,10,58
447,6,62
448,1,64
449,3,60
450,9,61
451,10,64
452,9,64
453,12,60
454,8,61
455,4,59
456,9,58
457,4,60
458,9,61
459,2,63
460,12,61
461,6,61
462,1,60
463,12,59
464,4,59
465,8,63
466,7,57
467,9,60
468,3,58
469,5,64
470,2,62
471,4,59
472,6,62
473,2,60
474,2,61
475,6,64
476,7,64
477,9,63
478,12,59
479,6,63
480,10,57
481,12,57
482,5,59
483,1,57
484,4,61
485,4,62
486,9,63
487,5,60
488,11,63
489,1,61
490,9,57
491,4,59
492,3,61
493,5,64
494,9,58
495,5,60
496,12,62
497,8,59
498,10,57
499,5,61
500,11,63
501,8,63
502,3,60
503,2,61
504,11,63
505,8,59
506,9,60
507,9,61
508,2,63
509,9,63
510,9,61
511,3,63
512,11,59
513,8,61
514,5,63
515,6,64
516,5,61
517,6,62
518,6,63
519,6,63
520,6,58
521,4,60
522,5,62
523,5,63
524,8,61
525,7,60
526,5,59
527,5,57
528,9,63
529,5,58
530,4,57
531,4,57
532,8,57
533,1,60
534,12,63
535,6,64
536,12,60
537,3,63
538,3,58
539,9,58
540,11,62
541,11,62
542,7,61
543,8,59
544,8,60
545,7,59
546,2,64
547,7,57
548,11,62
549,5,61
550,9,58
551,10,62
552,6,60
553,7,61
554,12,63
555,9,60
556,12,57
557,8,59
558,11,62
559,7,60
560,10,59
561,5,59
562,3,62
563,6,58
564,5,58
565,6,60
566,7,61
567,2,63
568,8,61
569,6,60
570,4,64
571,10,64
572,3,61
573,7,61
574,7,63
575,2,57
576,6,61
577,9,58
578,4,60
579,11,62
580,6,60
581,8,58
582,3,59
583,10,57
584,8,59
585,2,63
586,5,58
587,12,60
588,8,63
589,3,63
590,10,61
591,9,63
592,8,61
593,8,57
594,11,63
595,6,58
596,9,62
597,3,62
598,11,57
599,10,57
600,8,61
601,3,63
602,6,58
603,1,60
604,2,62
605,3,63
606,7,64
607,8,58
608,5,60
609,9,61
610,12,63
611,6,59
612,3,58
613,10,62
614,9,57
615,9,60
616,3,63
617,5,62
618,3,59
619,12,57
620,2,58
621,8,60
622,8,64
623,1,61
624,4,63
625,5,58
626,2,58
627,5,57
628,3,64
629,11,61
630,12,63
631,9,58
632,9,60
633,12,57
634,12,59
635,6,57
636,9,61
637,4,64
638,6,61
639,8,63
640,7,63
641,12,61
642,10,62
643,6,64
644,4,58
645,3,61
646,12,62
647,5,60
648,10,63
649,2,57
650,4,61
651,8,64
652,12,60
653,3,60
654,11,64
655,2,60
656,9,62
657,12,63
658,11,57
659,1,59
660,1,60
661,7,61
662,10,62
663,2,62
664,2,60
665,8,64
666,1,60
667,1,64
668,5,64
669,2,61
670,2,61
671,4,62
672,9,63
673,6,60
674,8,61
675,4,63
676,2,64
677,2,62
678,9,61
679,2,58
680,2,60
681,1,61
682,2,63
683,11,60
684,9,59
685,3,62
686,6,63
687,8,60
688,11,62
689,4,64
690,3,62
691,2,61
692,8,62
693,8,58
694,7,59
695,1,61
696,8,63
697,6,57
698,3,59
699,12,57
700,5,62
701,2,60
702,2,61
703,3,62
704,6,58
705,6,58
706,2,57
707,1,62
708,11,59
709,12,60
710,12,58
711,4,61
712,3,59
713,1,63
714,7,64
715,3,59
716,2,61
717,8,62
718,8,59
719,11,58
720,10,60
721,8,62
722,9,58
723,3,62
724,4,61
725,6,63
726,7,61
727,5,64
728,11,64
729,4,59
730,7,60
731,10,57
732,9,59
733,6,63
734,7,61
735,8,61
736,1,63
737,2,63
738,5,57
739,6,58
740,10,62
741,9,64
742,5,58
743,9,59
744,12,59
745,2,57
746,2,61
747,8,63
748,6,60
749,6,58
750,2,62
751,7,63
752,7,57
753,2,59
754,5,64
755,7,61
756,3,64
757,9,61
758,6,59
759,7,60
760,9,62
761,5,59
762,9,60
763,5,62
764,5,63
765,5,64
766,5,60
767,11,62
768,3,62
769,5,60
770,10,61
771,11,58
772,10,59
773,9,61
774,5,60
775,5,58
776,6,61
777,6,62
778,7,64
779,5,64
780,5,60
781,3,59
782,12,57
783,6,63
784,6,64
785,5,57
786,9,58
787,9,61
788,10,58
789,11,59
790,1,64
791,10,63
792,8,60
793,8,58
794,12,60
795,2,63
796,6,60
797,9,61
798,1,62
799,9,63
800,9,60
801,10,59
802,12,61
803,9,62
804,2,64
805,12,57
806,9,61
807,10,62
808,7,64
809,5,57
810,6,60
811,3,59
812,8,60
813,5,59
814,4,58
815,8,59
816,2,58
817,4,64
818,10,57
819,11,61
820,11,60
821,12,57
822,12,57
823,6,61
824,5,59
825,3,58
826,1,60
827,12,59
828,9,61
829,3,57
830,10,60
831,11,62
832,8,62
833,7,64
834,10,59
835,7,63
836,12,60
837,6,57
838,5,64
839,8,59
840,6,59
841,11,58
842,9,59
843,3,62
844,4,63
845,10,60
846,5,63
847,9,58
848,10,58
849,8,60
850,12,61
851,1,60
852,12,59
853,1,59
854,9,62
855,12,58
856,7,60
857,2,62
858,10,63
859,11,60
860,10,61
861,8,62
862,1,59
863,10,59
864,6,62
865,5,59
866,2,64
867,7,64
868,12,60
869,9,61
870,4,63
871,7,64
872,4,60
873,1,62
874,5,63
875,9,57
876,1,59
877,9,62
878,8,64
879,6,64
880,2,57
881,4,60
882,7,62
883,5,64
884,5,58
885,12,61
886,10,60
887,10,60
888,4,58
889,11,58
890,3,59
891,4,60
892,4,62
893,6,59
894,8,61
895,3,61
896,6,61
897,3,63
898,8,64
899,7,57
900,10,61
901,2,64
902,10,62
903,2,62
904,10,63
905,2,62
906,9,64
907,8,60
908,9,61
909,1,64
910,11,58
911,4,63
912,8,57
913,11,63
914,9,61
915,6,64
916,6,59
917,1,59
918,3,63
919,8,59
920,12,62
921,5,64
922,4,60
923,7,61
924,10,61
925,7,57
926,9,59
927,1,57
928,4,61
929,8,64
930,1,59
931,3,57
932,6,59
933,6,62
934,7,57
935,3,58
936,3,61
937,3,62
938,3,63
939,12,58
940,9,59
941,5,58
942,3,61
943,5,58
944,4,59
945,12,58
946,12,62
947,11,57
948,4,62
949,1,63
950,2,64
951,4,63
952,3,64
953,3,59
954,10,60
955,4,58
956,5,63
957,8,61
958,5,59
959,10,59
960,1,61
961,7,62
962,6,61
963,7,62
964,7,64
965,11,57
966,1,62
967,2,63
968,11,60
969,7,58
970,1,60
971,1,62
972,7,63
973,7,62
974,10,60
975,2,64
976,6,57
977,12,63
978,3,59
979,8,59
980,10,58
981,3,60
982,2,63
983,12,58
984,11,58
985,12,58
986,4,64
987,11,59
988,5,59
989,1,57
990,3,60
991,1,63
992,9,58
993,2,64
994,8,61
995,7,57
996,10,60
997,9,64
998,11,57
999,4,63
1000,3,61
1001,2,60
1002,12,62
1003,7,64
1004,11,60
1005,8,59
1006,4,59
1007,1,58
1008,1,59
1009,9,57
1010,3,64
1011,1,63
1012,12,62
1013,3,64
1014,3,60
1015,11,62
1016,5,60
1017,9,61
1018,9,64
1019,8,64
1020,10,60
1021,3,64
1022,9,62
1023,9,58
1024,6,62
1025,4,58
1026,4,57
1027,1,62
1028,2,63
1029,1,64
1030,8,58
1031,3,61
1032,12,62
1033,12,63
1034,9,57
1035,2,64
1036,11,62
1037,7,61
1038,8,64
1039,1,60
1040,12,59
1041,3,57
1042,4,62
1043,9,63
1044,3,64
1045,1,59
1046,3,63
1047,3,59
1048,5,58
1049,7,62
1050,9,61
1051,8,61
1052,7,62
1053,6,63
1054,2,61
1055,4,60
1056,7,59
1057,3,57
1058,12,63
1059,7,57
1060,12,59
1061,5,58
1062,7,58
1063,8,60
1064,10,57
1065,10,58
1066,3,57
1067,4,60
1068,2,58
1069,9,57
1070,1,59
1071,4,62
1072,7,60
1073,3,58
1074,1,62
1075,10,57
1076,11,64
1077,7,60
1078,11,59
1079,12,60
1080,3,64
1081,10,61
1082,1,63
1083,12,59
1084,3,57
1085,11,60
1086,7,61
1087,5,63
1088,4,60
1089,9,62
1090,3,64
1091,3,58
1092,11,62
1093,12,60
1094,9,58
1095,2,63
1096,5,57
1097,7,57
1098,11,58
1099,4,60
1100,6,62
1101,1,57
1102,2,58
1103,3,58
1104,3,58
1105,9,61
1106,5,64
1107,4,57
1108,11,57
1109,7,62
1110,10,62
1111,1,57
1112,7,64
1113,2,57
1114,7,60
1115,9,57
1116,6,61
1117,6,62
1118,3,63
1119,1,57
1120,8,58
1121,6,61
1122,4,57
1123,2,58
1124,1,61
1125,9,61
1126,7,58
1127,9,61
1128,1,59
1129,8,58
1130,6,59
1131,1,59
1132,6,62
1133,7,60
1134,4,63
1135,7,64
1136,9,62
1137,1,59
1138,1,57
1139,3,61
1140,1,59
1141,1,59
1142,6,58
1143,11,59
1144,9,61
1145,3,61
1146,11,61
1147,5,61
1148,4,58
1149,1,62
1150,2,64
1151,4,58
1152,8,61
1153,10,63
1154,9,58
1155,8,61
1156,4,57
1157,9,60
1158,8,60
1159,1,62
1160,12,63
1161,9,57
1162,4,64
1163,11,58
1164,12,60
1165,5,58
1166,11,61
1167,5,63
1168,1,61
1169,12,58
1170,5,61
1171,3,62
1172,9,59
1173,1,62
1174,12,59
1175,6,58
1176,5,64
1177,6,61
1178,12,62
1179,12,62
1180,7,58
1181,1,57
1182,6,58
1183,8,60
1184,8,57
1185,7,60
1186,2,62
1187,5,60
1188,5,62
1189,10,58
1190,11,59
1191,1,61
1192,8,62
1193,10,64
1194,2,58
1195,3,62
1196,4,64
1197,7,64
1198,12,62
1199,1,58
1200,3,60
1201,6,61
1202,5,59
1203,6,60
1204,4,61
1205,11,62
1206,3,61
1207,7,59
1208,3,58
1209,2,58
1210,3,61
1211,1,63
1212,8,57
1213,7,61
1214,10,64
1215,10,62
1216,10,60
1217,9,62
1218,10,64
1219,2,62
1220,11,63
1221,1,60
1222,4,63
1223,5,64
1224,2,59
1225,8,57
1226,1,58
1227,10,58
1228,4,61
1229,2,62
1230,5,57
1231,7,63
1232,10,57
1233,11,59
1234,2,61
1235,3,62
1236,5,63
1237,6,59
1238,10,57
1239,6,61
1240,11,63
1241,12,60
1242,4,64
1243,8,62
1244,6,64
1245,1,61
1246,10,62
1247,11,63
1248,9,62
1249,2,58
1250,6,57
1251,9,63
1252,1,58
1253,10,63
1254,11,61
1255,11,62
1256,7,62
1257,3,64
1258,12,61
1259,2,58
1260,11,59
1261,8,58
1262,8,59
1263,11,60
1264,6,60
1265,10,57
1266,7,60
1267,1,63
1268,5,59
1269,4,60
1270,6,62
1271,12,63
1272,5,59
1273,5,62
1274,8,60
1275,10,58
1276,10,63
1277,9,64
1278,9,60
1279,10,58
1280,9,60
1281,8,63
1282,4,64
1283,9,63
1284,7,62
1285,1,64
1286,3,61
1287,5,62
1288,4,58
1289,5,63
1290,4,58
1291,9,62
1292,1,64
1293,3,59
1294,5,63
1295,8,64
1296,3,62
1297,9,57
1298,1,63
1299,7,58
1300,10,64
1301,1,59
1302,7,62
1303,1,63
1304,7,64
1305,1,57
1306,10,62
1307,11,58
1308,3,61
1309,9,61
1310,9,61
1311,7,57
1312,7,57
1313,4,61
1314,12,62
1315,4,64
1316,10,61
1317,4,63
1318,8,57
1319,11,62
1320,12,57
1321,3,60
1322,7,57
1323,4,62
1324,8,62
1325,6,58
1326,8,62
1327,8,61
1328,9,61
1329,11,62
1330,7,64
1331,7,61
1332,2,63
1333,8,59
1334,7,58
1335,7,60
1336,2,60
1337,9,57
1338,3,60
1339,8,62
1340,4,57
1341,11,58
1342,8,59
1343,6,61
1344,5,59
1345,5,58
1346,8,62
1347,7,61
1348,2,62
1349,9,61
1350,1,63
1351,11,63
1352,10,58
1353,8,63
1354,2,57
1355,4,58
1356,10,62
1357,2,57
1358,8,60
1359,9,57
1360,2,57
1361,2,64
1362,10,62
1363,7,58
1364,6,63
1365,8,62
1366,7,58
1367,2,60
1368,3,61
1369,4,61
1370,6,64
1371,5,60
1372,2,62
1373,6,61
1374,3,63
1375,9,57
1376,6,58
1377,3,60
1378,12,61
1379,4,64
1380,12,61
1381,12,63
1382,8,58
1383,3,62
1384,2,63
1385,2,64
1386,10,60
1387,5,61
1388,2,63
1389,12,63
1390,12,63
1391,2,58
1392,12,57
1393,9,58
1394,3,60
1395,5,63
1396,12,63
1397,2,57
1398,5,59
1399,6,62
1400,7,62
1401,8,60
1402,8,63
1403,7,60
1404,12,62
1405,5,61
1406,2,61
1407,11,62
1408,11,62
1409,7,64
1410,7,61
1411,11,61
1412,6,62
1413,2,58
1414,12,59
1415,7,60
1416,8,61
1417,5,64
1418,12,64
1419,6,61
1420,8,62
1421,5,61
1422,3,63
1423,3,58
1424,9,58
1425,12,62
1426,1,62
1427,5,64
1428,12,59
1429,10,57
1430,7,60
1431,11,62
1432,10,60
1433,2,63
1434,9,61
1435,3,60
1436,1,62
1437,9,63
1438,1,63
1439,8,61
1440,8,62
1441,3,63
1442,2,64
1443,4,63
1444,10,61
1445,9,63
1446,12,63
1447,2,64
1448,1,59
1449,9,60
1450,11,61
1451,5,63
1452,8,64
1453,9,61
1454,5,64
1455,1,57
1456,5,63
1457,6,58
1458,4,59
1459,12,63
1460,6,58
1461,9,58
1462,4,57
1463,10,58
1464,9,63
1465,6,64
1466,8,63
1467,10,59
1468,10,57
1469,8,57
1470,9,60
1471,10,57
1472,2,63
1473,9,60
1474,9,57
1475,1,58
1476,10,63
1477,10,58
1478,4,59
1479,9,61
1480,3,59
1481,12,57
1482,1,59
1483,3,64
1484,11,61
1485,3,57
1486,12,58
1487,10,62
1488,9,58
1489,9,64
1490,9,63
1491,11,61
1492,1,57
1493,7,63
1494,1,60
1495,11,57
1496,9,60
1497,8,58
1498,3,63
1499,4,57
1500,6,59
1501,1,63
1502,2,64
1503,2,64
1504,9,57
1505,9,58
1506,7,59
1507,7,61
1508,5,64
1509,8,58
1510,8,63
1511,8,60
1512,12,60
1513,11,61
1514,9,59
1515,2,62
