"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
1,5,1,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,1,1,1,1,1,1,1,1,1,1,1,1
3,5,1,1,-5,4,4,4,4,4,4,4,1,6
4,5,3,-5,4,3,4,5,5,1,1,1,6,6
5,1,1,1,1,5,5,5,-5,1,-5,1,1,-5
6,1,5,1,3,1,1,1,1,1,1,1,1,1
7,1,5,1,1,1,8,8,8,8,8,8,8,8
8,6,1,4,1,1,1,1,4,1,1,1,1,1
9,1,1,5,2,1,1,1,1,1,1,1,1,1
10,6,3,1,1,1,2,4,1,-5,-5,4,-5,1
11,1,1,-5,1,1,3,1,1,-5,-5,-5,1,1
12,5,5,1,5,1,1,1,1,-5,-5,-5,-5,-5
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,5,1,5,3,1,1,1,1,1,1,1,1,1
15,1,5,1,5,5,5,5,1,1,1,1,8,3
16,5,1,3,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,2,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1
19,5,1,1,1,1,-5,5,5,1,7,4,4,4
20,5,1,3,5,1,1,1,1,1,1,1,1,2
21,5,1,2,1,2,1,3,1,1,1,1,1,1
22,5,1,1,1,3,2,1,1,1,1,1,1,2
23,1,1,5,5,5,5,-5,-5,-5,-5,-5,-5,-5
24,1,3,1,1,1,7,-5,3,1,1,1,1,1
25,5,5,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,8,8,5,5,8,8,8
27,5,2,1,1,1,1,1,1,5,5,4,7,4
28,5,5,1,1,1,1,1,1,1,1,1,1,1
29,5,1,2,3,1,1,1,1,1,1,1,1,1
30,5,1,1,1,1,-5,1,1,1,2,4,4,4
31,4,5,1,3,3,1,5,1,1,1,1,1,1
32,8,1,-5,1,1,1,1,1,1,1,1,3,-5
33,4,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,1,1,1,1,1,1,1,1,1,1,1,1,1
35,5,5,5,5,5,7,1,1,1,2,1,1,1
36,1,1,5,1,1,1,1,1,-5,1,1,1,1
37,5,1,1,1,1,1,1,1,1,1,1,1,4
38,5,5,3,1,1,1,3,1,1,1,1,1,1
39,1,1,-5,1,1,1,1,1,1,1,1,1,1
40,2,1,3,7,1,1,7,5,1,1,1,1,1
41,2,5,5,3,1,1,1,1,1,1,1,1,1
42,1,5,1,5,1,1,1,1,8,8,8,1,1
43,6,1,1,1,3,3,4,1,1,1,1,1,1
44,5,5,3,1,4,4,4,4,4,4,4,4,4
45,1,3,1,1,1,1,1,1,1,1,1,1,1
46,5,1,1,1,5,7,5,5,1,2,1,1,1
47,1,1,1,1,3,1,1,1,1,1,1,1,1
48,2,1,1,-5,1,1,-5,-5,-5,-5,-5,1,-5
49,5,1,1,1,1,1,1,1,1,2,2,1,1
50,5,1,1,1,1,1,1,2,1,1,4,1,1
51,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5
53,4,5,3,1,7,3,7,1,3,5,1,3,7
54,1,1,3,1,1,1,1,1,1,1,1,1,1
55,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,5,5,5,1,1,-5,-5,-5,-5,-5,-5,-5,-5
57,5,3,1,7,1,1,1,1,1,1,1,1,1
58,5,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,-5,1,1,1,1,1,1,1,1
61,5,1,1,1,1,1,1,1,1,1,1,1,1
62,5,5,5,3,1,1,1,1,1,1,1,1,1
63,1,1,5,5,3,1,1,1,1,1,-5,-5,-5
64,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
65,5,7,1,1,1,1,1,1,1,-5,-5,-5,-5
66,1,5,5,2,1,1,7,1,1,1,1,1,1
67,1,1,1,1,1,7,5,-5,-5,1,1,1,1
68,5,1,1,5,1,7,5,1,1,1,1,1,1
69,1,5,5,2,2,1,5,5,5,-5,-5,-5,-5
70,1,1,1,5,1,1,3,1,1,1,1,1,2
71,1,1,1,1,5,5,5,5,5,5,1,3,1
72,5,1,7,2,1,1,1,1,1,1,1,1,1
73,1,5,5,5,5,5,5,5,5,-5,1,1,-5
74,5,1,1,1,1,1,5,1,1,1,1,1,1
75,5,1,2,5,1,2,1,1,1,3,1,2,1
76,1,1,5,1,1,5,7,1,1,1,1,1,1
77,5,5,5,3,5,5,1,3,3,1,1,1,1
78,5,5,1,1,1,1,1,1,1,1,1,4,1
79,1,7,5,1,5,5,5,1,1,1,1,1,1
80,1,5,5,2,5,1,-5,5,-5,-5,3,1,2
81,1,1,7,1,5,5,-5,3,5,3,5,2,1
82,3,3,3,3,-5,-5,-5,3,3,-5,1,6,7
