"R0000100","R0173600","R2737900","R2838700","R2840700","R2842700","R2844700","R2846700","R2848700"
1,5,-5,-5,-5,-5,-5,-5,-5
2,5,1,-4,-4,-4,-4,-4,-4
3,5,0,1,0,-4,1,-4,-4
4,5,1,-4,-4,-4,-4,-4,-4
5,1,1,-4,-4,-4,-4,-4,-4
6,1,1,-4,-4,-4,-4,-4,-4
7,1,0,1,0,-4,1,-4,-4
8,6,1,-4,-4,-4,-4,-4,-4
9,1,0,1,0,-4,-4,-4,-4
10,6,0,1,0,-4,-4,-4,-4
11,1,-5,-5,-5,-5,-5,-5,-5
12,5,-5,-5,-5,-5,-5,-5,-5
13,1,1,-4,-4,-4,-4,-4,-4
14,5,1,-4,-4,-4,-4,-4,-4
15,1,1,-4,-4,-4,-4,-4,-4
16,5,1,-4,-4,-4,-4,-4,-4
17,1,0,1,0,-4,-4,-4,-4
18,1,0,1,0,-4,-4,-4,-4
19,5,1,-4,-4,-4,-4,-4,-4
20,5,1,-4,-4,-4,-4,-4,-4
21,5,1,-4,-4,-4,-4,-4,-4
22,5,1,-4,-4,-4,-4,-4,-4
23,1,-5,-5,-5,-5,-5,-5,-5
24,1,1,-4,-4,-4,-4,-4,-4
25,5,1,-4,-4,-4,-4,-4,-4
26,1,0,1,0,-4,1,-4,-4
27,5,1,-4,-4,-4,-4,-4,-4
28,5,1,-4,-4,-4,-4,-4,-4
29,5,1,-4,-4,-4,-4,-4,-4
30,5,1,-4,-4,-4,-4,-4,-4
31,4,0,1,0,-4,1,-4,-4
32,8,1,-4,-4,-4,-4,-4,-4
33,4,-5,-5,-5,-5,-5,-5,-5
34,1,0,1,1,-4,-4,-4,-4
35,5,0,1,0,-4,-4,-4,-4
36,1,0,1,0,-4,0,-4,-4
37,5,1,-4,-4,-4,-4,-4,-4
38,5,1,-4,-4,-4,-4,-4,-4
39,1,0,0,1,1,-4,-4,-4
40,2,0,1,0,-4,-4,-4,-4
41,2,0,1,0,-4,-4,-4,-4
42,1,1,-4,-4,-4,-4,-4,-4
43,6,0,1,-4,-4,1,-4,-4
44,5,1,-4,-4,-4,-4,-4,-4
45,1,0,0,1,1,0,-4,-4
46,5,0,1,0,-4,1,-4,-4
47,1,1,-4,-4,-4,-4,-4,-4
48,2,-5,-5,-5,-5,-5,-5,-5
49,5,1,-4,-4,-4,-4,-4,-4
50,5,0,1,0,-4,-4,-4,-4
51,1,-5,-5,-5,-5,-5,-5,-5
52,1,-5,-5,-5,-5,-5,-5,-5
53,4,1,-4,-4,-4,-4,-4,-4
54,1,1,-4,-4,-4,-4,-4,-4
55,1,-5,-5,-5,-5,-5,-5,-5
56,5,-5,-5,-5,-5,-5,-5,-5
57,5,1,-4,-4,-4,-4,-4,-4
58,5,1,-4,-4,-4,-4,-4,-4
59,1,1,-4,-4,-4,-4,-4,-4
60,1,1,-4,-4,-4,-4,-4,-4
61,5,1,-4,-4,-4,-4,-4,-4
62,5,1,-4,-4,-4,-4,-4,-4
63,1,-5,-5,-5,-5,-5,-5,-5
64,1,-5,-5,-5,-5,-5,-5,-5
65,5,-5,-5,-5,-5,-5,-5,-5
66,1,1,-4,-4,-4,-4,-4,-4
67,1,1,-4,-4,-4,-4,-4,-4
68,5,1,-4,-4,-4,-4,-4,-4
69,1,-5,-5,-5,-5,-5,-5,-5
70,1,1,-4,-4,-4,-4,-4,-4
71,1,1,-4,-4,-4,-4,-4,-4
72,5,1,-4,-4,-4,-4,-4,-4
73,1,0,1,0,-4,-4,-4,-4
74,5,1,-4,-4,-4,-4,-4,-4
75,5,1,-4,-4,-4,-4,-4,-4
76,1,1,-4,-4,-4,-4,-4,-4
77,5,1,-4,-4,-4,-4,-4,-4
78,5,1,-4,-4,-4,-4,-4,-4
79,1,1,-4,-4,-4,-4,-4,-4
80,1,1,-4,-4,-4,-4,-4,-4
81,1,1,-4,-4,-4,-4,-4,-4
82,3,1,-4,-4,-4,-4,-4,-4
83,3,1,-4,-4,-4,-4,-4,-4
84,3,1,-4,-4,-4,-4,-4,-4
85,3,0,1,1,-4,-4,-4,-4
86,7,1,-4,-4,-4,-4,-4,-4
87,3,1,-4,-4,-4,-4,-4,-4
88,3,0,1,0,-4,1,-4,-4
89,7,0,1,0,0,1,-4,-4
90,1,1,-4,-4,-4,-4,-4,-4
91,5,1,-4,-4,-4,-4,-4,-4
92,5,0,1,0,-4,1,-4,-4
93,1,1,-4,-4,-4,-4,-4,-4
94,1,-5,-5,-5,-5,-5,-5,-5
95,5,1,-4,-4,-4,-4,-4,-4
96,6,0,1,1,-4,-4,-4,-4
97,5,0,1,1,-4,-4,-4,-4
98,6,1,-4,-4,-4,-4,-4,-4
99,5,1,-4,-4,-4,-4,-4,-4
100,5,0,1,0,-4,-4,-4,-4
101,1,1,-4,-4,-4,-4,-4,-4
102,5,1,-4,-4,-4,-4,-4,-4
103,1,0,1,0,-4,1,-4,-4
104,5,-5,-5,-5,-5,-5,-5,-5
105,6,0,1,0,-4,-4,-4,-4
106,1,0,1,-4,-4,-4,-4,-4
107,1,1,-4,-4,-4,-4,-4,-4
108,1,1,-4,-4,-4,-4,-4,-4
109,5,1,-4,-4,-4,-4,-4,-4
110,1,1,-4,-4,-4,-4,-4,-4
111,5,1,-4,-4,-4,-4,-4,-4
112,5,1,-4,-4,-4,-4,-4,-4
113,1,-5,-5,-5,-5,-5,-5,-5
114,1,-5,-5,-5,-5,-5,-5,-5
115,5,-5,-5,-5,-5,-5,-5,-5
116,5,-5,-5,-5,-5,-5,-5,-5
117,1,1,-4,-4,-4,-4,-4,-4
118,5,-5,-5,-5,-5,-5,-5,-5
119,1,1,-4,-4,-4,-4,-4,-4
120,1,1,-4,-4,-4,-4,-4,-4
121,5,1,-4,-4,-4,-4,-4,-4
122,1,1,-4,-4,-4,-4,-4,-4
123,1,1,-4,-4,-4,-4,-4,-4
124,5,0,1,1,-4,-4,-4,-4
125,1,-5,-5,-5,-5,-5,-5,-5
126,1,1,-4,-4,-4,-4,-4,-4
127,1,-5,-5,-5,-5,-5,-5,-5
128,5,1,-4,-4,-4,-4,-4,-4
129,1,1,-4,-4,-4,-4,-4,-4
130,6,-5,-5,-5,-5,-5,-5,-5
131,6,-5,-5,-5,-5,-5,-5,-5
132,6,-5,-5,-5,-5,-5,-5,-5
133,5,1,-4,-4,-4,-4,-4,-4
134,1,1,-4,-4,-4,-4,-4,-4
135,1,1,-4,-4,-4,-4,-4,-4
136,5,1,-4,-4,-4,-4,-4,-4
137,5,1,-4,-4,-4,-4,-4,-4
138,5,1,-4,-4,-4,-4,-4,-4
139,1,1,-4,-4,-4,-4,-4,-4
140,5,1,-4,-4,-4,-4,-4,-4
141,5,1,-4,-4,-4,-4,-4,-4
142,1,1,-4,-4,-4,-4,-4,-4
143,5,-5,-5,-5,-5,-5,-5,-5
144,5,0,1,1,-4,-4,-4,-4
145,1,1,-4,-4,-4,-4,-4,-4
146,1,1,-4,-4,-4,-4,-4,-4
147,5,1,-4,-4,-4,-4,-4,-4
148,1,0,1,0,-4,0,-4,-4
149,5,0,1,0,-4,1,-4,-4
150,1,0,1,0,-4,1,-4,-4
151,5,1,-4,-4,-4,-4,-4,-4
152,5,1,-4,-4,-4,-4,-4,-4
153,5,0,1,0,-4,0,-4,-4
154,5,-5,-5,-5,-5,-5,-5,-5
155,1,0,1,1,-4,-4,-4,-4
156,1,-5,-5,-5,-5,-5,-5,-5
157,5,1,-4,-4,-4,-4,-4,-4
158,5,1,-4,-4,-4,-4,-4,-4
159,5,1,-4,-4,-4,-4,-4,-4
160,5,1,-4,-4,-4,-4,-4,-4
161,5,1,-4,-4,-4,-4,-4,-4
162,1,1,-4,-4,-4,-4,-4,-4
163,1,1,-4,-4,-4,-4,-4,-4
164,5,0,1,1,-4,-4,-4,-4
165,5,1,-4,-4,-4,-4,-4,-4
